sentences,keywords,cluster_ID_kmeans
I just watched American Sniper You have to see what Bradley Cooper does in this movie His performance is next level,"bradley cooper, movie, level, american sniper",2
"Did yall see ""American Sniper"" What a powerful movie Bradley Cooper isnt too hard on the eyes either","sniper, bradley cooper, eyes, american sniper",2
Ultimate respect for Chris Kyle (1974-2013 RIP Solider  AmericanSniper ,"americansniper, chris kyle, kyle, ultimate respect, solider",0
"AmericanSniper Chris Kyle's widow This movie will be ""how my kids remember their dad"" ","chris kyle 's, widow, movie, dad",0
American Sniper was truly great I should have learned by now to never let Clint surprise me but I didnt expect to cry through the credits,"american sniper, clint, credits",2
About to watch American Sniper with my 3 week old son He's proper buzzing loves Bradley Cooper,"week old son, bradley cooper, bradley, cooper, american sniper",2
Retweet if you support Chris Kyle 100% AmericanSniper ,"chris kyle, americansniper",0
Holy Moly So proud of Bradley Cooper Absolutely phenomenal in AmericanSniper,"bradley cooper, americansniper",2
"RT ""Berduu ""American Camper"" Not directed by Clint Eastwood Not starring B Cooper"" PTFO or GTFO AmericanSniper ","b cooper "" ptfo, americansniper, ptfo, berduu "" american camper, clint eastwood",2
Genuinely pleased with American Sniper Bradley Cooper was pretty damn impressive,sniper bradley cooper,2
Intvd Bradley Cooper Clint Eastwood Taya Kyle Sienna Miller Jason Hall today about Chris Kyle and AmericanSniper ,"kyle sienna, intvd bradley cooper clint eastwood taya kyle sienna miller jason hall, today, chris kyle, kyle, jason hall",0
See Bradley Cooper Play a Reluctant Hero in New AmericanSniper Clip (Exclusive ,"clip, exclusive, bradley cooper play, new americansniper clip, hero",2
AmericanSniper Chris Kyle's widow How she's coping ,"chris kyle 's, widow",0
His one mission To protect his brothers-in-arms Bradley Cooper is Chris Kyle in AmericanSniper ,"chris kyle, bradley cooper, kyle, americansniper",0
Congratulations to Bradley Cooper on his CriticsChoice nomination for Best Actor in an Action Movie AmericanSniper ,"action, americansniper, best actor, actor, bradley cooper, criticschoice nomination",2
Dean Cain on AmericanSniper Chris Kyle He'd prefer fishing to the Oscars ,"oscars, chris kyle, fishing",0
This is the kind of respect America shows a hero ChrisKyle AmericanSniper ,"americansniper, chriskyle, america, respect america, hero",1
"The top film of last Friday was again Clint Eastwoods ""American Sniper"" ","sniper, last friday, clint eastwoods, american sniper",2
"AmericanSniper Chris Kyle's widow ""I will miss him every single day of my life"" ","chris kyle 's, widow, life, single day",0
Thank u Clint Eastwood Bradley Cooper for making such a significant film americansniper on the life of a true patriot hero Chris Kyle,"life, clint eastwood bradley cooper, significant film americansniper, americansniper, chris kyle, kyle",0
EXCLUSIVE Bradley Cooper explains why his role in AmericanSniper was 'life-changing' ,"exclusive bradley cooper, americansniper, life-changing, role",2
Clint Eastwood You may not have gotten the nomination for directing American Sniper but you can dance all the way to the bank,"sniper, american, clint eastwood, american sniper",2
SEAL who helped train Chris Kyle on what AmericanSniper got right -- and what it got wrong ,"chris kyle, kyle, americansniper, train chris kyle",0
Before you watch AmericanSniper hear about Chris Kyles fight for freedom in a one-on-one interview with EdYoung ,"chris kyles, edyoung, freedom, fight, chris kyles fight",0
United States Navy SEAL CPO Chris Kyle HonorChrisKyle AmericanSniper ,"chris kyle, united states navy, americansniper, honorchriskyle",0
The real story of AmericanSniper Chris Kyle ,"americansniper chris kyle, kyle",0
"Not a bad way to spend the afternoon Bradley Cooper and Clint Eastwood talking about their movie ""American Sniper"" ","sniper, bradley cooper, movie, american sniper, clint eastwood",2
Watch Bradley Cooper in the new trailer for Clint Eastwood's AmericanSniper iTunesTrailers ,"new trailer, watch bradley cooper, americansniper, itunestrailers, clint eastwood 's",2
"If Obama watched ""American Sniper"" I wonder whether he'd see Chris Kyle as a hero or a villain AmericanSniper","chris kyle, villain, americansniper, american sniper",0
Bradley Cooper's AmericanSniper has made 1 million in five days from only 4 theaters ,"americansniper, bradley cooper 's",2
RETWEET 1000 times if you AGREE American Sniper Chris Kyle is a HERO tcot pjnet tlot lnyhbt teaparty Foxnews ,"agree american, chris kyle, foxnews, teaparty, hero",0
"""joseph97pio RobLowe thoughts on american sniper"" Bradley makes the movie Proves people will still come even without capes and masks","bradley, movie, american sniper, masks, capes, people",2
"Just saw ""American Sniper"" Powerful Another view of ""Coming Home"" Bradley Cooper sensational Bravo Clint Eastwood ",""" coming home "", bravo clint eastwood, bradley cooper, eastwood",2
Hoping the huge audiences moved by AmericanSniper remember pray for all who serve suffer sacrifice-- their families ThnxChris,"huge audiences, americansniper, thnxchris",1
Clint Eastwood's 'American Sniper' opens with 1053 million at the box office ,"american sniper ', clint eastwood 's ', american sniper",2
With American Sniper in theatres revisit nickschmidles 2013 story about Chris Kyle ,"chris kyle, theatres, kyle, story, nickschmidles",0
"Bill Maher called ""American Sniper"" Chris Kyle a ""psychopath patriot"" Watch ","psychopath patriot, psychopath, chris kyle, watch, american sniper",0
American Sniper-Chris Kyle ,"american sniper-chris, kyle",0
"""Your dad he's a hero"" Exclusive AmericanSniper featurette on the legend of Chris Kyle ","chris kyle, legend, exclusive americansniper featurette, kyle",0
"""A performance for the ages"" See Bradley Cooper in AmericanSniper - in select theaters 12/25 everywhere 1/16 ","select theaters, americansniper-in, theaters, see bradley cooper",2
Happy for AMERICAN SNIPER's success Stay for the post-credits scene where Chris Kyle becomes a lying psychopath ,"chris kyle, psychopath, post-credits scene",0
How Americans react to ChrisKyle and criticism of AmericanSniper ,"chriskyle, americansniper",1
If you thought Hollywood was DOA see AmericanSniper It's the best movie out in decades Thank you Clint Eastwood ,"best movie, clint eastwood, decades, americansniper",1
Watch American Sniper Chris Kyles Incredibly Interesting 2012 Interview On Conan (Video >> ,"american sniper chris kyles, video, kyles, chris kyles",0
His one mission To protect his brothers in arms Bradley Cooper as Chris Kyle in American Sniper HonorChrisKyle ,"american sniper honorchriskyle, bradley cooper, chris kyle, honorchriskyle",2
Saw AmericanSniper Man somebody steal all the crayons out of Clint Eastwood's box except the black white Us Not Them Productions Wow,"clint, clint eastwood 's, black white, americansniper man somebody, clint eastwood, box",1
The only thing that surprised me about American Sniper was how deftly Eastwood churned a hero out of a failed war predicated on a huge lie,"american sniper, eastwood, american, hero",2
The Strongest Lady in America Taya Kyle at the NY Premier of AmericanSniper HonorChrisKyle ,"ny, americansniper, honorchriskyle, ny premier, the strongest lady in america, america taya kyle",1
"If Muslims see American Sniper the way I saw Passion of the Christ it's like ""Cool A huge box office hit to revive hatred of my people""","passion of the christ, cool a, a huge box office, american sniper, hatred, people",2
"MartySmithESPN the ""American Sniper"" Chris Kyle was a Earnhardt Jr fan Is this news to you Was to me Go Junior ","news, earnhardt jr, chris kyle, jr, earnhardt jr fan",0
American Sniper is the largest box office opening for both Clint Eastwood and Bradley Cooper,"opening, bradley cooper, cooper, largest box office, clint, clint eastwood",2
Discover the story behind AmericanSniper - RT for a chance to win a copy of Chris Kyle's book ,"copy, chris kyle, kyle, chris kyle 's, americansniper-rt, book",0
Watch Bradley Cooper as Chris Kyle in a new featurette for AmericanSniper ,"chris kyle, new featurette, americansniper",0
Cancellato Il famoso nuovo giallo dal finale mozzafiato di Clint Eastwood  salvo epicignorance americansniper,"giallo dal finale mozzafiato, americansniper, eastwood, salvo, epicignorance, clint eastwood",1
